Status,Confidence,Hash Distance,Reference Image,HD Match,Output File
Unmatched,No Match,18,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-02.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-03.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\605 Sport Fisher\IMG_3801.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\605 Sport Fisher\605 Sport Fisher_001.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-04.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\605 Sport Fisher\IMG_3760 (1).jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\605 Sport Fisher\605 Sport Fisher_002.jpg
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-05.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-06.jpg,,
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-07.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\605 Sport Fisher\IMG_3796.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\605 Sport Fisher\605 Sport Fisher_003.jpg
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-hero.jpg,,
Unmatched,No Match,12,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\645 Sport Fisher\645-sport-fisher-card.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\645 Sport Fisher\645-sport-fisher-gallery-01.jpg,,
Unmatched,No Match,18,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\645 Sport Fisher\645-sport-fisher-gallery-02.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\645 Sport Fisher\645-sport-fisher-gallery-03.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\645 Sport Fisher\645-sport-fisher-gallery-04.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\645 Sport Fisher\IMG_9565.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\645 Sport Fisher\645 Sport Fisher_001.jpg
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\645 Sport Fisher\645-sport-fisher-hero.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\560 Game King\560-game-king-card.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\560 Game King\560-game-king-gallery-01.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\a New stock boat pics\MY25 Extreme 560gk\NZ Pics\IMG_1405.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Game King\560 Game King\560 Game King_001.jpg
Matched,High,4,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\560 Game King\560-game-king-gallery-02.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\a New stock boat pics\MY25 Extreme 560gk\NZ Pics\IMG_1431.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Game King\560 Game King\560 Game King_002.jpg
